Date,Mkt-RF,SMB,HML,RF
2012-01-06,0.017,-0.0058,0.0085,0
2012-01-13,0.0118,0.0087,0.0016,0
2012-01-20,0.0213,0.006,-0.0017,0
2012-01-27,0.0033,0.0181,-0.0171,0
2012-02-03,0.025,0.0162,0.0039,1.00E-05
2012-02-10,-0.0023,-0.0161,-0.0038,1.00E-05
2012-02-17,0.016,0.0033,0.0036,1.00E-05
2012-02-24,0.0026,-0.0056,-0.0102,1.00E-05
2012-03-02,0.0005,-0.0336,0.0043,1.00E-05
2012-03-09,0.0032,0.0166,0.0008,1.00E-05
2012-03-16,0.0229,-0.0075,0.0153,1.00E-05
2012-03-23,-0.0044,0.0062,-0.0032,1.00E-05
2012-03-30,0.0074,-0.0066,-0.0039,1.00E-05
2012-04-05,-0.0071,-0.0064,-0.0068,1.00E-05
2012-04-13,-0.0205,-0.0019,-0.0013,1.00E-05
2012-04-20,0.0056,0.0018,0.0042,1.00E-05
2012-04-27,0.0187,0.0067,-0.0007,1.00E-05
2012-05-04,-0.0268,-0.0159,0.0014,2.00E-05
2012-05-11,-0.0099,0.0082,0.002,2.00E-05
2012-05-18,-0.0447,-0.0048,-0.0013,2.00E-05
2012-05-25,0.0195,0.0051,-0.0106,2.00E-05
2012-06-01,-0.0315,-0.005,0.005,1.00E-05
2012-06-08,0.0373,0.0016,-0.0017,1.00E-05
2012-06-15,0.0107,-0.0104,0.0066,1.00E-05
2012-06-22,-0.0035,0.0117,-0.0019,1.00E-05
2012-06-29,0.021,0.0089,0.0003,1.00E-05
2012-07-06,-0.0026,0.0155,-0.0047,1.00E-05
2012-07-13,-0.0005,-0.0118,0.0053,1.00E-05
2012-07-20,0.0026,-0.0132,-0.0163,1.00E-05
2012-07-27,0.0145,-0.0126,0.0085,1.00E-05
2012-08-03,0.0017,-0.0125,0.0099,1.00E-05
2012-08-10,0.0137,0.0071,0.0088,1.00E-05
2012-08-17,0.0113,0.012,-0.0018,1.00E-05
2012-08-24,-0.0055,-0.0105,0.0022,1.00E-05
2012-08-31,-0.0018,0.0042,-0.0009,1.00E-05
2012-09-07,0.0255,0.0081,0.0131,2.00E-05
2012-09-14,0.0209,0.0062,0.0185,2.00E-05
2012-09-21,-0.0048,-0.0026,-0.0114,2.00E-05
2012-09-28,-0.0141,-0.0067,-0.0038,2.00E-05
2012-10-05,0.0146,-0.0111,0.0147,2.00E-05
2012-10-12,-0.0221,-0.0011,0.0056,2.00E-05
2012-10-19,0.0026,-0.0123,0.0173,2.00E-05
2012-10-26,-0.0137,0.0081,-0.0038,2.00E-05
2012-11-02,0.0027,0.001,0.0081,2.00E-05
2012-11-09,-0.0233,0.0007,-0.008,2.00E-05
2012-11-16,-0.0146,-0.0107,-0.0027,2.00E-05
2012-11-23,0.0372,0.0042,0.0015,2.00E-05
2012-11-30,0.0083,0.0155,-0.0036,2.00E-05
2012-12-07,0.0013,-0.0061,0.0132,3.00E-05
2012-12-14,-0.0014,0.0055,0.0082,3.00E-05
2012-12-21,0.014,0.0107,0.0129,3.00E-05
2012-12-28,-0.0188,0.0009,0.0014,3.00E-05
2013-01-04,0.048,0.0085,0.0083,0
2013-01-11,0.0044,-0.0032,-0.0077,0
2013-01-18,0.0098,0.0049,-0.0007,0
2013-01-25,0.0127,0.0009,0.0008,0
2013-02-01,0.0073,-0.0017,0.0107,1.00E-05
2013-02-08,0.0045,0.0001,-0.0001,1.00E-05
2013-02-15,0.0023,0.0064,0.0118,1.00E-05
2013-02-22,-0.0036,-0.0049,-0.006,1.00E-05
2013-03-01,0.002,-0.0055,-0.0104,1.00E-05
2013-03-08,0.0247,0.0051,0.0072,1.00E-05
2013-03-15,0.0067,0.0032,0.0096,1.00E-05
2013-03-22,-0.0021,0.0005,-0.0077,1.00E-05
2013-03-28,0.0085,-0.0019,-0.0078,1.00E-05
2013-04-05,-0.0139,-0.0199,0.0007,1.00E-05
2013-04-12,0.0238,0.0003,-0.0022,1.00E-05
2013-04-19,-0.0224,-0.0141,-0.0061,1.00E-05
2013-04-26,0.0192,0.0053,0.0149,1.00E-05
2013-05-03,0.0205,0.003,-0.0013,0
2013-05-10,0.0144,0.0071,0.0057,0
2013-05-17,0.0214,-0.0009,0.0061,0
2013-05-24,-0.0107,0.0015,0.0022,0
2013-05-31,-0.0076,0.0109,0.0104,0
2013-06-07,0.0073,-0.0043,-0.0022,0
2013-06-14,-0.0093,0.0052,-0.0057,0
2013-06-21,-0.0208,0.0059,0.0037,0
2013-06-28,0.0111,0.005,0.0028,0
2013-07-05,0.0184,0.0142,0.0017,0
2013-07-12,0.0302,0.0008,-0.0053,0
2013-07-19,0.0072,0.004,0.0186,0
2013-07-26,0.0012,-0.0016,-0.0021,0
2013-08-02,0.0144,-0.0011,-0.0099,0
2013-08-09,-0.0098,-0.0005,-0.0047,0
2013-08-16,-0.0204,0.001,0.004,0
2013-08-23,0.0061,0.009,-0.0119,0
2013-08-30,-0.0187,-0.0053,-0.0131,0
2013-09-06,0.0149,0.0026,0.0032,0
2013-09-13,0.0216,0.0027,-0.0034,0
2013-09-20,0.0136,0.0057,-0.0061,0
2013-09-27,-0.0077,0.012,-0.0057,0
2013-10-04,0.0017,0.0035,0.0018,1.00E-05
2013-10-11,0.0055,-0.0027,0.0137,1.00E-05
2013-10-18,0.0251,0.002,-0.0002,1.00E-05
2013-10-25,0.0072,-0.0017,-0.0036,1.00E-05
2013-11-01,-0.0012,-0.0173,0.0017,1.00E-05
2013-11-08,0.0047,0.0009,0.0071,1.00E-05
2013-11-15,0.0171,-0.0002,-0.0094,1.00E-05
2013-11-22,0.0036,0.0018,0.0082,1.00E-05
2013-11-29,0.0035,0.0164,-0.0055,1.00E-05
2013-12-06,-0.0007,-0.0084,-0.0012,1.00E-05
2013-12-13,-0.0146,-0.0069,0.0044,1.00E-05
2013-12-20,0.0256,0.0105,-0.0037,1.00E-05
2013-12-27,0.0135,0.0022,-0.0001,1.00E-05
2014-01-03,-0.0042,-0.0006,-0.0008,1.00E-05
2014-01-10,0.0067,0.0051,-0.0143,1.00E-05
2014-01-17,-0.0012,0.0064,-0.007,1.00E-05
2014-01-24,-0.026,0.0048,-0.0009,1.00E-05
2014-01-31,-0.0044,-0.0082,-0.0016,1.00E-05
2014-02-07,0.0056,-0.0219,0.0003,1.00E-05
2014-02-14,0.0253,0.0056,-0.0001,1.00E-05
2014-02-21,0.0014,0.0156,-0.008,1.00E-05
2014-02-28,0.0137,0.0045,0.004,1.00E-05
2014-03-07,0.0117,0.0049,0.016,1.00E-05
2014-03-14,-0.0194,0.002,-0.0008,1.00E-05
2014-03-21,0.0128,-0.0055,0.0206,1.00E-05
2014-03-28,-0.0101,-0.0291,0.016,1.00E-05
2014-04-04,0.0033,-0.0029,0.0109,0
2014-04-11,-0.0287,-0.0078,-0.0001,0
2014-04-17,0.0268,-0.0051,0.0017,0
2014-04-25,-0.0034,-0.0107,0.0054,0
2014-05-02,0.0099,-0.0056,-0.0064,0
2014-05-09,-0.0047,-0.0196,0.0069,0
2014-05-16,0,-0.0021,-0.012,0
2014-05-23,0.0139,0.0081,-0.0021,0
2014-05-30,0.0118,-0.005,0.0023,0
2014-06-06,0.016,0.0105,0.0031,1.00E-05
2014-06-13,-0.0052,0.007,-0.0058,1.00E-05
2014-06-20,0.0151,0.0074,-0.0028,1.00E-05
2014-06-27,-0.0006,0.0018,-0.0025,1.00E-05
2014-07-03,0.0138,0.0052,-0.003,0
2014-07-11,-0.0135,-0.0305,0.0058,0
2014-07-18,0.0037,-0.0143,0.0087,0
2014-07-25,-0.0001,-0.0048,-0.0083,0
2014-08-01,-0.0263,0.0026,-0.0027,0
2014-08-08,0.0051,0.0097,-0.0058,0
