Date,F,CAT,DIS,MCD,KO,PEP,WMT,C,WFC,JPM,AAPL,IBM,PFE,JNJ,XOM,MRO,ED,T,VZ,NEM
2011-12-30,8.481097497,75.66028169,34.81705373,83.70208684,29.36663786,56.21936515,51.47155887,25.54173162,23.26869072,28.28699755,52.04814475,157.0836699,17.61493783,55.33217577,70.34623257,25.83975325,49.25361412,22.16103929,30.88874005,54.90599633
2012-01-06,9.22989328,79.96941032,37.05462972,83.92733914,28.93014646,55.40594253,50.81696742,27.71632223,24.43381384,30.29723133,54.28428726,155.9389444,17.5579579,54.69937413,70.64501317,27.09333882,46.92710938,22.07309866,29.89555773,56.69929332
2012-01-13,9.490001289,85.58129876,35.65266302,83.7187722,28.11592212,54.56710046,51.28207187,29.84237287,24.99948956,30.77705174,53.95143617,153.0515026,17.77773762,55.0621804,70.44582611,26.89912134,46.99063169,22.36314274,30.35572937,57.9985187
2012-01-20,9.923514637,88.60945425,36.49755686,84.87840442,28.57759571,56.16005308,52.54818953,28.77449355,25.78468123,32.01087564,54.01440799,161.0474953,17.82657756,55.07061776,72.61198546,28.28512792,46.65713954,22.69037197,30.39472697,54.22893521
2012-01-27,9.663406628,93.34021269,36.44184957,82.33388768,28.30478859,55.76181493,52.28979817,29.96857679,24.99104664,31.88235232,57.48171403,162.7047844,17.48469799,55.31530106,71.23427491,27.57888253,46.7603633,21.68637321,29.02201156,56.2784175
2012-02-03,10.12243823,95.571386,37.13819065,83.43512115,28.57339868,56.48203287,53.42672016,32.5707895,25.96449087,32.79915202,59.07528686,165.4213717,17.43493366,55.3827999,70.47902395,28.51465767,46.70478128,22.27389841,29.51338128,55.82094377
2012-02-10,9.845436401,93.73444256,38.48445006,82.98461655,28.51464022,54.18580861,53.31475057,31.97356124,25.65084864,32.22508118,63.41134712,165.0181036,17.31157328,54.50531496,69.93260969,29.2650434,46.95093025,22.1920911,29.39638849,54.54916682
2012-02-17,10.09078088,95.57977387,38.76298649,83.4184358,28.98051085,53.10971827,53.8143072,31.96870573,26.35442446,32.96194823,64.52941837,165.8756969,17.42670964,54.83437181,71.45143247,29.96610227,46.43050948,22.31852057,29.99695148,54.39362575
2012-02-24,9.679235304,97.29928713,38.35446639,83.69374416,28.95952569,53.64352686,50.63609347,31.41517711,25.5830341,32.79915202,67.13696617,169.5976519,17.41848561,54.86812123,72.88680346,31.06642702,47.20876409,22.56394249,29.74736686,57.19336494
2012-03-02,10.06703786,94.35514491,39.32934389,83.59199326,29.03507228,53.40760329,50.82558047,33.11460709,26.51548399,34.81268408,70.06322853,170.4981248,17.60763819,55.13199212,72.04394026,29.7442626,46.78353219,22.95810497,30.16074139,53.94530151
